Crse Descr,SUBJECT,Catalog Nbr,Class Instr Name,Class Nbr,Facility ID,Facility Descr,Meeting Start Dt,MEETING_END_DT,Meeting Time Start,Meeting Time End,Mon,Tues,Wed,Thurs,Fri,Sat,Sun,Class Mtg Nbr
Human Anatomy & Physiology I,BIO,167,"Yambrick, Nicole",04,107 MSB,107 MSB,01/08/2025,04/22/2025,12:30PM,01:45PM,,X,,X,,,,
Human Anatomy & Physiology I,BIO,167,"Yambrick, Nicole",05,107 MSB,107 MSB,01/08/2025,04/22/2025,12:30PM,01:45PM,,X,,X,,,,
Human Anatomy/Physiology II,BIO,168,"Yambrick, Nicole",01,107 MSB,107 MSB,01/08/2025,04/22/2025,09:30AM,10:45AM,X,,X,,,,,
Human Anatomy/Physiology II,BIO,168,"Yambrick, Nicole",02,107 MSB,107 MSB,01/08/2025,04/22/2025,09:30AM,10:45AM,X,,X,,,,,
Human Anatomy/Physiology II,BIO,168,"Yambrick, Nicole",03,107 MSB,107 MSB,01/08/2025,04/22/2025,09:30AM,10:45AM,X,,X,,,,,
Regional Anatomy/Anesthetists,BIO,511,"Mayhew, Earl",01,107 MSB,107 MSB,01/08/2025,04/22/2025,09:30AM,11:35AM,,X,,,,,,
Human Anatomy & Physiology I,BIO,167,"Miller, Jennifer",01,109 MSB,109 MSB,01/08/2025,04/22/2025,09:30AM,10:45AM,X,,X,,,,,
Human Anatomy & Physiology I,BIO,167,"Miller, Jennifer",02,109 MSB,109 MSB,01/08/2025,04/22/2025,09:30AM,10:45AM,X,,X,,,,,
Human Anatomy & Physiology I,BIO,167,"Miller, Jennifer",03,109 MSB,109 MSB,01/08/2025,04/22/2025,09:30AM,10:45AM,X,,X,,,,,
Intro to Social Studies,SST,201,"Sayers, Harold",01,110 FH,110 FH,01/08/2025,04/22/2025,04:00PM,06:45PM,,X,,,,,,
An Introduction to Music,MUS,100,"Coviak, James",01,111 FH,111 FH,01/08/2025,04/22/2025,11:00AM,12:15PM,X,,X,,,,,
Introduction to Human Biology,BIO,104,"Viele, Dennis",01,115 MSB,115 MSB,01/08/2025,04/22/2025,12:30PM,01:45PM,,X,,X,,,,
Human Anatomy for PAs,BIO,510,"Morey, Jon",02,115 MSB,115 MSB,01/08/2025,04/22/2025,03:30PM,04:30PM,,X,,,,,,
Regional Anatomy/Anesthetists,BIO,511,"Mayhew, Earl",02,115 MSB,115 MSB,01/08/2025,04/22/2025,09:30AM,11:35AM,,X,,,,,,
Advanced Software Engineering,CSC,580,"Hart, John",01,119 MSB,119 MSB,01/08/2025,04/22/2025,04:30PM,06:10PM,,X,,X,,,,
Drawing II,ART,132,"Dubrovich, Alla",01,11TH FLOOR NBNK,11TH FLOOR NBNK,01/08/2025,04/22/2025,02:30PM,05:15PM,,X,,X,,,,
Two-Dimensional Design,ART,141,"Zeiss, Rebecca",01,11TH FLOOR NBNK,11TH FLOOR NBNK,01/08/2025,04/22/2025,12:30PM,01:45PM,,X,,X,,,,
Keyboard Skills II,MUS,130,"Schmit, Daniel",01,134 FH,134 FH,01/08/2025,04/22/2025,09:00AM,09:50AM,,X,,X,,,,
Keyboard Skills IV,MUS,132,"Schmit, Daniel",01,134 FH,134 FH,01/08/2025,04/22/2025,08:00AM,08:50AM,,X,,X,,,,
Double Reed,MUS,128,"Wheeler, Christopher",01,144 FH,144 FH,01/08/2025,04/22/2025,02:00PM,03:45PM,,X,,,,,,
University Orchestra,MUS,203,"Forsleff, Matthew",01,144 FH,144 FH,01/08/2025,04/22/2025,04:00PM,05:15PM,,X,,X,,,,
University Orchestra,MUS,403,"Forsleff, Matthew",01,144 FH,144 FH,01/08/2025,04/22/2025,04:00PM,05:15PM,,X,,X,,,,
Jazz Combo,MUS,404,"Price, Jeffrey",01,144 FH,144 FH,01/08/2025,04/22/2025,10:00AM,10:50AM,X,,X,,X,,,
College Physics II,PHY,145,"Tarini, Laurence",02,155 MSB,155 MSB,01/08/2025,04/22/2025,02:00PM,04:10PM,X,,X,,,,,
Principles of Physics II,PHY,245,"Grafe, Alan",01,155 MSB,155 MSB,01/08/2025,04/22/2025,02:30PM,05:15PM,,X,,X,,,,
College Physics I,PHY,143,"Grafe, Alan",01,163 MSB,163 MSB,01/08/2025,04/22/2025,10:00AM,12:10PM,,X,,X,,,,
College Physics I,PHY,143,"Tarini, Laurence",02,163 MSB,163 MSB,01/08/2025,04/22/2025,04:15PM,06:25PM,X,,X,,,,,
Voice Class,MUS,126,"Wikaryasz, Hannah",01,164 FH,164 FH,01/08/2025,04/22/2025,02:00PM,03:45PM,,,,X,,,,
Applied Music I,MUS,151,"Price, Jeffrey",01,164 FH,164 FH,01/08/2025,04/22/2025,11:00AM,11:50AM,,,,,X,,,
Applied Music I,MUS,151,"Price, Jeffrey",03,164 FH,164 FH,01/08/2025,04/22/2025,11:00AM,11:50AM,,,,,X,,,
Applied Music I,MUS,151,"Price, Jeffrey",11,164 FH,164 FH,01/08/2025,04/22/2025,11:00AM,11:50AM,,,,,X,,,
Applied Music I,MUS,151,"Price, Jeffrey",16,164 FH,164 FH,01/08/2025,04/22/2025,11:00AM,11:50AM,,,,,X,,,
Applied Music I,MUS,151,"Price, Jeffrey",18,164 FH,164 FH,01/08/2025,04/22/2025,11:00AM,11:50AM,,,,,X,,,
Applied Music II,MUS,152,"Price, Jeffrey",01,164 FH,164 FH,01/08/2025,04/22/2025,11:00AM,11:50AM,,,,,X,,,
Applied Music II,MUS,152,"Price, Jeffrey",14,164 FH,164 FH,01/08/2025,04/22/2025,11:00AM,11:50AM,,,,,X,,,
Applied Music II,MUS,152,"Price, Jeffrey",18,164 FH,164 FH,01/08/2025,04/22/2025,11:00AM,11:50AM,,,,,X,,,
Applied Music III,MUS,251,"Price, Jeffrey",03,164 FH,164 FH,01/08/2025,04/22/2025,11:00AM,11:50AM,,,,,X,,,
Applied Music III,MUS,251,"Price, Jeffrey",13,164 FH,164 FH,01/08/2025,04/22/2025,11:00AM,11:50AM,,,,,X,,,
Applied Music III,MUS,251,"Price, Jeffrey",18,164 FH,164 FH,01/08/2025,04/22/2025,11:00AM,11:50AM,,,,,X,,,
Applied Music IV,MUS,252,"Price, Jeffrey",14,164 FH,164 FH,01/08/2025,04/22/2025,11:00AM,11:50AM,,,,,X,,,
Applied Music IV,MUS,252,"Price, Jeffrey",16,164 FH,164 FH,01/08/2025,04/22/2025,11:00AM,11:50AM,,,,,X,,,
Applied Music V,MUS,351,"Price, Jeffrey",03,164 FH,164 FH,01/08/2025,04/22/2025,11:00AM,11:50AM,,,,,X,,,
Applied Music VI,MUS,352,"Price, Jeffrey",02,164 FH,164 FH,01/08/2025,04/22/2025,11:00AM,11:50AM,,,,,X,,,
Applied Music VI,MUS,352,"Price, Jeffrey",03,164 FH,164 FH,01/08/2025,04/22/2025,11:00AM,11:50AM,,,,,X,,,
Applied Music VI,MUS,352,"Price, Jeffrey",15,164 FH,164 FH,01/08/2025,04/22/2025,11:00AM,11:50AM,,,,,X,,,
Applied Music VI,MUS,352,"Price, Jeffrey",18,164 FH,164 FH,01/08/2025,04/22/2025,11:00AM,11:50AM,,,,,X,,,
Junior Recital,MUS,356,"Price, Jeffrey",01,164 FH,164 FH,01/08/2025,04/22/2025,11:00AM,11:50AM,,,,,X,,,
Applied Music VII,MUS,451,"Price, Jeffrey",08,164 FH,164 FH,01/08/2025,04/22/2025,11:00AM,11:50AM,,,,,X,,,
Senior Recital,MUS,456,"Price, Jeffrey",01,164 FH,164 FH,01/08/2025,04/22/2025,11:00AM,11:50AM,,,,,X,,,
Conceptual PHY by Inquiry Meth,PHY,110,"Stark, Michele",01,169 MSB,169 MSB,01/08/2025,04/22/2025,12:30PM,02:50PM,X,,X,,,,,
Fundamentals of Heat Transfer,SET,230,"Afshar, Shima",01,169 MSB,169 MSB,01/08/2025,04/22/2025,02:30PM,04:10PM,,X,,X,,,,
Thermal Systems Laboratory,EGR,355,"AbdulNour, Bashar",01,184 MSB,184 MSB,01/08/2025,04/22/2025,02:30PM,05:00PM,,,,,X,,,
Dynamics,EGR,370,"Afshar, Shima",01,184 MSB,184 MSB,01/08/2025,04/22/2025,08:30AM,10:10AM,,X,,X,,,,
Diction for Singers,MUS,366,"Wikaryasz, Hannah",01,201 FH,201 FH,01/08/2025,04/22/2025,10:00AM,10:50AM,,X,,X,,,,
Critical Writing & Reading,ENG,112,"Larsen Jr, Dave",12,212 FH,212 FH,01/08/2025,04/22/2025,11:00AM,12:15PM,X,,X,,,,,
Phys Activity Across Lifespan,EXS,220,"Landis, Theresa",01,2153 WSW,2153 WSW,01/08/2025,04/22/2025,04:00PM,06:45PM,,X,,,,,,
Health Sciences Capstone,PHS,390,"Valacak, Mark",M1,2153 WSW,2153 WSW,01/08/2025,01/08/2025,05:30PM,08:15PM,,,X,,,,,
Cultural Compt for PH Practice,PHS,562,"Carter-Cooper, Robin",H1,2153 WSW,2153 WSW,01/08/2025,04/22/2025,05:30PM,08:15PM,,,,X,,,,
Assess Comp-Based Learning II,NUR,217,"Parker, Jessica",01,2203 WSW,2203 WSW,01/08/2025,04/22/2025,,,,,,,,,,
Assess Comp-Based Learning II,NUR,217,"Parker, Jessica",03,2203 WSW,2203 WSW,01/08/2025,04/22/2025,,,,,,,,,,
Col Reading & Learning Strat,ENG,100,"Vidaillet Gelderloos, Stephanie",01,225 LIB,225 LIB,01/08/2025,04/22/2025,09:30AM,10:45AM,,X,,X,,,,
Col Reading & Learning Strat,ENG,100,"Vidaillet Gelderloos, Stephanie",02,225 LIB,225 LIB,01/08/2025,04/22/2025,04:00PM,05:15PM,,X,,X,,,,
College Rhetoric,ENG,111,"Vidaillet Gelderloos, Stephanie",05,225 LIB,225 LIB,01/08/2025,04/22/2025,11:00AM,12:15PM,,X,,X,,,,
Business Concepts and Careers,BUS,110,"Tuttle, Dale",F1,2307 RF,2307 RF,01/08/2025,04/22/2025,04:00PM,05:15PM,,X,,X,,,,
Intro to Entrepreneurship,EIM,240,"Tuttle, Dale",F1,2307 RF,2307 RF,01/08/2025,04/22/2025,11:00AM,12:15PM,,X,,X,,,,
Business & Corporate Strategy,MGT,489,"Tuttle, Dale",F1,2307 RF,2307 RF,01/08/2025,04/22/2025,12:30PM,01:45PM,,X,,X,,,,
Principles of Marketing,MKT,330,"Lake, Daniel",F1,2307 RF,2307 RF,01/08/2025,04/22/2025,12:30PM,01:45PM,X,,X,,,,,
Retail Management,MKT,437,"Lake, Daniel",F1,2307 RF,2307 RF,01/08/2025,04/22/2025,02:30PM,03:45PM,X,,X,,,,,
Sales Management,MKT,447,"Lake, Daniel",F1,2307 RF,2307 RF,01/08/2025,04/22/2025,07:00PM,09:45PM,,X,,,,,,
Business Statistics,SCM,211,"Charara, Zaher",01,2307 RF,2307 RF,01/08/2025,04/22/2025,09:30AM,10:45AM,,X,,X,,,,
Intro to Business Analytics,SCM,313,"Charara, Zaher",F1,2307 RF,2307 RF,01/08/2025,04/22/2025,02:30PM,03:45PM,,X,,X,,,,
Prin of Financial Accounting,ACC,201,"Sabolish, Jeffrey",01,2315 RF,2315 RF,01/08/2025,04/22/2025,02:30PM,03:45PM,,X,,X,,,,
Prin of Managerial Accounting,ACC,202,"Bohanon, Michael",01,2315 RF,2315 RF,01/08/2025,04/22/2025,02:30PM,03:45PM,X,,X,,,,,
Fundamentals of Gov/Fund Acct,ACC,423,"Bohanon, Michael",F1,2315 RF,2315 RF,01/08/2025,04/22/2025,07:00PM,08:15PM,X,,X,,,,,
Adv Gov't & Nonprofit Acc,ACC,580,"Bohanon, Michael",F1,2315 RF,2315 RF,01/08/2025,04/22/2025,07:00PM,08:15PM,X,,X,,,,,
Special Topics Seminar,BUS,499,"Stephens, John",F2,2325 RF,2325 RF,01/08/2025,04/22/2025,11:00AM,12:15PM,,X,,X,,,,
Contemp Legal Issues for BUS,BUS,250,"Witt, Michael",01,2331 RF,2331 RF,01/08/2025,04/22/2025,11:00AM,12:15PM,,X,,X,,,,
Portfolio Theo & Sec Analysis,FIN,365,"Stephens, John",F1,2331 RF,2331 RF,01/08/2025,04/22/2025,01:00PM,02:15PM,,X,,X,,,,
Managing Projects & Teams,MGT,347,"Wittenbaum, Gwen",F1,2331 RF,2331 RF,01/08/2025,04/22/2025,11:00AM,12:15PM,X,,X,,,,,
Principles Interpersonal Com,COM,281,"Laux, Kimberly",01,250 FH,250 FH,01/08/2025,04/22/2025,11:00AM,12:15PM,X,,X,,,,,
Psychopathology,PSY,309,"Juliao, Tracy",01,250 FH,250 FH,01/08/2025,04/22/2025,02:30PM,03:45PM,X,,X,,,,,
Discovery Seminar II,HON,156,"Davis, Emma",01,251 FH,251 FH,01/08/2025,04/22/2025,12:30PM,01:45PM,,X,,X,,,,
Discovery Seminar II,HON,156,"Davis, Emma",02,251 FH,251 FH,01/08/2025,04/22/2025,02:30PM,03:45PM,,X,,X,,,,
Advanced Discovery Seminar II,HON,356,"Davis, Emma",01,251 FH,251 FH,01/08/2025,04/22/2025,12:30PM,01:45PM,,X,,X,,,,
Learn Sci & Engage Field Exp,IES,361,"Allen, Jenelle",01,251 FH,251 FH,01/08/2025,04/22/2025,12:15PM,03:00PM,,,,,X,,,
Fld WK: Addl Grade Band,IES,362,"Allen, Jenelle",01,251 FH,251 FH,01/08/2025,04/22/2025,12:15PM,03:00PM,,,,,X,,,
Principles of Psychology,PSY,100,"Juliao, Tracy",02,251 FH,251 FH,01/08/2025,04/22/2025,12:30PM,01:45PM,X,,X,,,,,
Microbiology Laboratory,BIO,406,"Cossaboom, Russell",01,261 MSB,261 MSB,01/08/2025,04/22/2025,04:00PM,05:55PM,,X,,X,,,,
Fluid Mechanics Laboratory,MEE,351,"Aslam, Mohammed",01,284 MSB,284 MSB,01/08/2025,04/22/2025,09:00AM,11:30AM,,,,,X,,,
Digital Manufact I: Intell Mac,DMT,250,"Olofin, Samuel",M1,292 MSB,292 MSB,01/08/2025,04/22/2025,04:30PM,06:10PM,X,,,,,,,
Problem Solving & Progrming I,CSC,175,"Galerneau, Quentin",01,296 MSB,296 MSB,01/08/2025,04/22/2025,10:30AM,12:10PM,,X,,X,,,,
Computer-Aided Design,EGR,165,"Lucas, Laura",02,296 MSB,296 MSB,01/08/2025,04/22/2025,02:30PM,04:10PM,X,,X,,,,,
Intro to Public Speaking,COM,210,"Silva, Michelle",01,301 FH,301 FH,01/08/2025,04/22/2025,02:30PM,03:45PM,X,,X,,,,,
Intro to Philosophy,PHL,101,"Wandmacher, Stevens",02,301 FH,301 FH,01/08/2025,04/22/2025,07:40AM,08:55AM,X,,X,,,,,
Principles of Psychology,PSY,100,"Rouleau, Amy",01,301 FH,301 FH,01/08/2025,04/22/2025,02:30PM,03:45PM,,X,,X,,,,
Fluid Mechanics,MEE,350,"Afshar, Shima",01,302 MSB,302 MSB,01/08/2025,04/22/2025,12:30PM,02:10PM,,X,,X,,,,
Math Modeling w/ Coll Algebra,MTH,109,"Wade, James",01,302 MSB,302 MSB,01/08/2025,04/22/2025,02:30PM,03:45PM,,X,,X,,,,
Introduction to Human Biology,BIO,104,"Viele, Dennis",H1,306 MSB,306 MSB,01/08/2025,04/22/2025,12:30PM,01:45PM,,X,,X,,,,
Fundraising and Planned Giving,ADM,510,"Adkins, Dean",H1,310 FH,310 FH,01/08/2025,04/22/2025,05:30PM,08:15PM,X,,,,,,,
Safety Applications for Arts,ADM,550,"Boes, Taylor",H1,310 FH,310 FH,01/08/2025,04/22/2025,05:30PM,08:15PM,,X,,,,,,
Pre-Calculus Mathematics,MTH,120,"Daoud, Shawil",02,314 MSB,314 MSB,01/08/2025,04/22/2025,08:30AM,10:10AM,,X,,X,,,,
Pre-Calculus Mathematics,MTH,120,"Daoud, Shawil",03,314 MSB,314 MSB,01/08/2025,04/22/2025,12:30PM,02:10PM,,X,,X,,,,
Physiology of Exercise,PTP,413,"Marchwinski, Laura",M1,3152 WSW,3152 WSW,01/08/2025,04/22/2025,10:30AM,12:10PM,,X,,,,,,
Medical-Surgical Nursing I,NUR,250,"Parker, Jessica",01,3157 WSW,3157 WSW,01/08/2025,04/22/2025,12:30PM,03:15PM,,X,,,,,,
Medical-Surgical Nursing I,NUR,250,"Parker, Jessica",04,3157 WSW,3157 WSW,01/08/2025,04/22/2025,12:30PM,03:15PM,,X,,,,,,
Medical-Surgical Nursing I,NUR,250,"Parker, Jessica",05,3157 WSW,3157 WSW,01/08/2025,04/22/2025,12:30PM,03:15PM,,X,,,,,,
Medical-Surgical Nursing I,NUR,250,"Parker, Jessica",06,3157 WSW,3157 WSW,01/08/2025,04/22/2025,12:30PM,03:15PM,,X,,,,,,
Assmnts & Interventions III,OTP,775,"Colwell, Jennifer",01,3159 WSW,3159 WSW,01/08/2025,04/22/2025,09:30AM,12:00PM,,X,,,,,,
Biostatistics,BIO,301,"Viele, Dennis",01,316 MSB,316 MSB,01/08/2025,04/22/2025,11:00AM,12:15PM,X,,X,,,,,
Biostatistics,BIO,504,"Viele, Dennis",01,316 MSB,316 MSB,01/08/2025,04/22/2025,11:00AM,12:15PM,X,,X,,,,,
Liberal Arts Mathematics,MTH,105,"Robertson, Brian",01,316 MSB,316 MSB,01/08/2025,04/22/2025,09:30AM,10:45AM,,X,,X,,,,
Liberal Arts Mathematics,MTH,105,"Robertson, Brian",02,316 MSB,316 MSB,01/08/2025,04/22/2025,11:00AM,12:15PM,,X,,X,,,,
Epidemiology and Public Health,PHS,552,"Sutton, Stephanie",01,3203 WSW,3203 WSW,01/08/2025,04/22/2025,08:00AM,10:00AM,X,,,,,,,
Ethics & Bias in AI,ARI,515,"Khalsi Ep Yousaf, Rania",01,322 MSB,322 MSB,01/08/2025,04/22/2025,02:30PM,04:10PM,,X,,X,,,,
Microbiology Basics,BIO,135,"Holzer, Cynthia",01,329 MSB,329 MSB,01/08/2025,04/22/2025,12:30PM,01:45PM,X,,X,,,,,
Microbiology Basics,BIO,135,"Holzer, Cynthia",02,329 MSB,329 MSB,01/08/2025,04/22/2025,12:30PM,01:45PM,X,,X,,,,,
College Algebra,MTH,111,"Wade, James",01,329 MSB,329 MSB,01/08/2025,04/22/2025,09:30AM,10:45AM,,X,,X,,,,
Intro to Digital Culture,COM,170,"Keller, Jenell",01,350 FH,350 FH,01/08/2025,04/22/2025,07:40AM,08:55AM,,X,,X,,,,
College Rhetoric,ENG,111,"Vidaillet Gelderloos, Stephanie",02,350 FH,350 FH,01/08/2025,04/22/2025,02:30PM,03:45PM,,X,,X,,,,
Beginning Spanish II,SPN,112,"Knoll, Theresa",M1,350 FH,350 FH,01/08/2025,04/22/2025,11:00AM,12:15PM,X,,X,,,,,
Critical Writing & Reading,ENG,112,"Clark, Jay",05,351 FH,351 FH,01/08/2025,04/22/2025,11:00AM,12:15PM,,X,,X,,,,
Critical Writing & Reading,ENG,112,"Martelle, Katie",11,351 FH,351 FH,01/08/2025,04/22/2025,12:30PM,01:45PM,,X,,X,,,,
Michigan History,HIS,329,"Havrilcsak, Gregory",01,351 FH,351 FH,01/08/2025,04/22/2025,09:30AM,10:45AM,,X,,X,,,,
Found of Amer Public Pol,POL,405,"Zarb, Stephanie",H1,355 FH,355 FH,01/08/2025,04/22/2025,05:30PM,06:45PM,,X,,,,,,
U.S. State & Local Govt,POL,411,"Ananich, James",H1,355 FH,355 FH,01/08/2025,04/22/2025,05:30PM,06:45PM,,,,X,,,,
Foundations of Amer Pub Policy,PUB,500,"Zarb, Stephanie",H1,355 FH,355 FH,01/08/2025,04/22/2025,05:30PM,06:45PM,,X,,,,,,
US State and Local Govt,PUB,511,"Ananich, James",H1,355 FH,355 FH,01/08/2025,04/22/2025,05:30PM,06:45PM,,,,X,,,,
General Chemistry Laboratory,CHM,261,"Ionina-Prasov, Marina",01,359 MSB,359 MSB,01/08/2025,04/22/2025,01:00PM,04:00PM,,,,X,,,,
General Chemistry Laboratory,CHM,261,"Herzog, Douglas",02,359 MSB,359 MSB,01/08/2025,04/22/2025,01:00PM,04:00PM,,,X,,,,,
Intro Quant Analysis Lab,CHM,263,"Morcos, Tayseer",01,367 MSB,367 MSB,01/08/2025,04/22/2025,01:00PM,04:00PM,X,,,,,,,
Intro Quant Analysis Lab,CHM,263,"Morcos, Tayseer",02,367 MSB,367 MSB,01/08/2025,04/22/2025,01:00PM,04:00PM,,X,,,,,,
Intro Quant Analysis Lab,CHM,263,"Morcos, Tayseer",03,367 MSB,367 MSB,01/08/2025,04/22/2025,01:00PM,04:00PM,,,,X,,,,
Biology for Non-Scientists,BIO,103,"Konieczny, Danielle",M1,374 MSB,374 MSB,01/08/2025,04/22/2025,10:00AM,11:55AM,,,,X,,,,
Animal Behavior,BIO,446,"Konieczny, Danielle",01,388 MSB,388 MSB,01/08/2025,04/22/2025,10:30AM,12:10PM,X,,X,,,,,
Animal Behavior,BIO,546,"Konieczny, Danielle",01,388 MSB,388 MSB,01/08/2025,04/22/2025,10:30AM,12:10PM,X,,X,,,,,
Rapid Prototyping,DMT,430,"Olofin, Samuel",M1,390 MSB,390 MSB,01/08/2025,04/22/2025,04:30PM,06:10PM,,,X,,,,,
Ecology,BIO,327,"Yoder-Nowak, Teresa",01,392 MSB,392 MSB,01/08/2025,04/22/2025,09:30AM,10:45AM,X,,X,,,,,
Ecology,BIO,327,"Yoder-Nowak, Teresa",02,392 MSB,392 MSB,01/08/2025,04/22/2025,09:30AM,10:45AM,X,,X,,,,,
General CHM for Hlth Sciences,CHM,150,"Herzog, Douglas",01,392 MSB,392 MSB,01/08/2025,04/22/2025,11:00AM,12:15PM,X,,X,,,,,
Organismal Biology,BIO,111,"Yoder-Nowak, Teresa",01,396 MSB,396 MSB,01/08/2025,04/22/2025,02:30PM,03:45PM,X,,X,,,,,
Organismal Biology,BIO,111,"Yoder-Nowak, Teresa",02,396 MSB,396 MSB,01/08/2025,04/22/2025,02:30PM,03:45PM,X,,X,,,,,
Organismal Biology,BIO,111,"Yoder-Nowak, Teresa",03,396 MSB,396 MSB,01/08/2025,04/22/2025,02:30PM,03:45PM,X,,X,,,,,
Principles of Biology,BIO,113,"Slater, Jill",01,396 MSB,396 MSB,01/08/2025,04/22/2025,11:00AM,12:15PM,X,,X,,,,,
Principles of Biology,BIO,113,"Slater, Jill",02,396 MSB,396 MSB,01/08/2025,04/22/2025,11:00AM,12:15PM,X,,X,,,,,
Principles of Biology,BIO,113,"Slater, Jill",03,396 MSB,396 MSB,01/08/2025,04/22/2025,11:00AM,12:15PM,X,,X,,,,,
Intro to Education,IES,101,"Blakey, Linda",01,405 FH,405 FH,01/08/2025,04/22/2025,09:30AM,12:15PM,,,X,,,,,
Classroom Management,IES,300,"Rogers, Alyssa",01,405 FH,405 FH,01/08/2025,04/22/2025,05:30PM,08:15PM,,,X,,,,,
Soft Tissue Techniques,PTP,705,"Giebel, Ryan",01,4103 WSW,4103 WSW,01/08/2025,04/22/2025,11:30AM,12:30PM,,X,,,,,,
Soft Tissue Techniques,PTP,705,"Giebel, Ryan",02,4103 WSW,4103 WSW,01/08/2025,04/22/2025,11:30AM,12:30PM,,X,,,,,,
Math Modeling w/ Coll Algebra,MTH,109,"Wade, James",02,412 MSB,412 MSB,01/08/2025,04/22/2025,11:00AM,12:15PM,,X,,X,,,,
Applied Calculus,MTH,118,"Murphy, Allen",01,412 MSB,412 MSB,01/08/2025,04/22/2025,10:30AM,12:10PM,X,,X,,,,,
Pre-Calculus Mathematics,MTH,120,"Boomer, Mary",01,412 MSB,412 MSB,01/08/2025,04/22/2025,04:30PM,06:10PM,X,,X,,,,,
Intro to Digital Media,ART,126,"Zeiss, Rebecca",01,4202 WSW,4202 WSW,01/08/2025,04/22/2025,08:00AM,10:45AM,,X,,X,,,,
College Algebra,MTH,111,"Herta, Jean",02,422 MSB,422 MSB,01/08/2025,04/22/2025,04:00PM,05:15PM,X,,X,,,,,
College Algebra,MTH,111,"Herta, Jean",03,422 MSB,422 MSB,01/08/2025,04/22/2025,05:30PM,06:45PM,X,,X,,,,,
Basic Statistics & Probability,PSY,322,"Bedell, Karen",01,459 FH,459 FH,01/08/2025,04/22/2025,12:30PM,02:10PM,X,,X,,,,,
Literacy Assessment & Methods,EDR,440,"Hadding, Jamie",01,461 FH,461 FH,01/08/2025,04/22/2025,05:30PM,08:15PM,,,,X,,,,
Scientific Inquiry I,SCI,125,"Hart, Stephanie",01,486 MSB,486 MSB,01/08/2025,04/22/2025,09:00AM,11:20AM,,X,,X,,,,
Scientific Inquiry II,SCI,126,"Hart, Stephanie",01,486 MSB,486 MSB,01/08/2025,04/22/2025,12:30PM,02:50PM,X,,X,,,,,
Human Origins And Prehistory,ANT,105,"Wright, Kathryn",M1,527 FH,527 FH,01/08/2025,04/22/2025,11:00AM,12:15PM,,,X,,,,,
Human Anatomy for PAs,BIO,510,"Morey, Jon",01,533 MSB,533 MSB,01/08/2025,04/22/2025,03:30PM,04:30PM,,X,,,,,,
Critical Writing & Reading,ENG,112,"Booms, Stephanie",01,558 FH,558 FH,01/08/2025,04/22/2025,02:30PM,03:45PM,,X,,X,,,,
Res Sem in Politics & Policy,POL,301,"Munroe, Derwin",M1,558 FH,558 FH,01/08/2025,04/22/2025,11:00AM,12:15PM,,,X,,,,,
Organic Chemistry Lab I,CHM,331,"Herzog, Douglas",01,559 MSB,559 MSB,01/08/2025,04/22/2025,01:00PM,05:00PM,,,,X,,,,
Career Prep in Liberal Arts,ENG,305,"Wiess, Janelle",01,561 FH,561 FH,01/08/2025,04/22/2025,12:30PM,01:45PM,X,,X,,,,,
Bio Chemistry Lab for Hlth Sci,CHM,253,"Ionina-Prasov, Marina",01,575 MSB,575 MSB,01/08/2025,04/22/2025,09:00AM,12:00PM,,X,,,,,,
Typography II,ART,330,"Davis, Amy",M1,612 NBNK,612 NBNK,01/08/2025,04/22/2025,02:30PM,05:15PM,,,,X,,,,
Web Design,ART,335,"Everett, Scott",M1,612 NBNK,612 NBNK,01/08/2025,04/22/2025,08:00AM,10:45AM,,,X,,,,,
Game Design,ART,346,"Everett, Scott",M1,612 NBNK,612 NBNK,01/08/2025,04/22/2025,08:00AM,10:45AM,,X,,,,,,
Senior Design Portfolio,ART,401,"Davis, Amy",01,612 NBNK,612 NBNK,01/08/2025,04/22/2025,09:00AM,11:00AM,,,,,X,,,
