Crse Descr,SUBJECT,Catalog Nbr,Class Instr Name,Class Nbr,Facility ID,Facility Descr,Meeting Start Dt,MEETING_END_DT,Meeting Time Start,Meeting Time End,Mon,Tues,Wed,Thurs,Fri,Sat,Sun,Class Mtg Nbr
International Business,INB,385,"Lukoianove, Tatiana",F1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
International Business,INB,385,"Lukoianove, Tatiana",W1,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
International Business,INB,385,"Lukoianove, Tatiana",W2,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
International Management,INB,442,"Lukoianove, Tatiana",F1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Intro to Cultural Anthropology,INT,100,"Vannier, Christian",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
World History to 1400,INT,112,"Havrilcsak, Gregory",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Human Behavior in Organization,MGT,341,"Wittenbaum, Gwen",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Human Behavior in Organization,MGT,341,"Cameron, Elizabeth",W2,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Human Behavior in Organization,MGT,341,"Cameron, Elizabeth",W3,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Managing Projects & Teams,MGT,347,"Fields, Rita",W1,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Managing Projects & Teams,MGT,347,"Fields, Rita",W2,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Human Resource Development,MGT,445,"Fields, Rita",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Leadershp & Chng Mngmt,MGT,449,"Cameron, Elizabeth",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Organizational Behavior,MGT,541,"Fields, Rita",F1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Intro to Esports Business,MKT,334,"Sobczyk, Benjamin",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Liberal Arts Mathematics,MTH,105,"Robertson, Brian",W1,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
Liberal Arts Mathematics,MTH,105,"Robertson, Brian",W2,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
Math Modeling w/ Coll Algebra,MTH,109,"Campbell, Matthew",W1,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
Math Modeling w/ Coll Algebra,MTH,109,"Campbell, Matthew",W2,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
College Algebra,MTH,111,"Wade, James",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Applied Calculus,MTH,118,"Murphy, Allen",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Pre-Calculus Mathematics,MTH,120,"Daoud, Shawil",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Med Terminology for Hlth Prof,MTP,320,"Swanson, Christopher",W1,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
An Introduction to Music,MUS,100,"Price, Jeffrey",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
An Introduction to Music,MUS,100,"Price, Jeffrey",W2,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
Music in World Cultures,MUS,226,"Price, Jeffrey",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Survey of Rock & Roll Music,MUS,245,"Wright, Joseph",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Survey of Rock & Roll Music,MUS,245,"Wright, Joseph",W2,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Legal/Moral Decisions in HCR,NSC,180,"Dalton, Harold",M1,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
Legal/Moral Decisions in HCR,NSC,180,"Dalton, Harold",W1,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Legal/Moral Decisions in HCR,NSC,180,"Dalton, Harold",W2,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
Legal/Moral Decisions in HCR,NSC,180,"Turkelson, Timothy",W3,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Legal/Moral Decisions in HCR,NSC,180,"Dalton, Harold",W4,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
Basic Nutrition for HCR Pract,NSC,209,"Athamanah, John",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Basic Nutrition for HCR Pract,NSC,209,"Uhley, Virginia",W2,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Technology in Health Care,NSC,373,"Sanchez-Merritt, Lydia",W1,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
Biostatistics/Advncd Prac HCR,NSC,601,"LaChance, Jenny",W1,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Biostatistics/Advncd Prac HCR,NSC,601,"LaChance, Jenny",W2,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Biostatistics/Advncd Prac HCR,NSC,601,"LaChance, Jenny",W3,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Biostatistics/Advncd Prac HCR,NSC,601,"LaChance, Jenny",W4,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Epidemiology,NSC,606,"LaChance, Jenny",W1,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
Epidemiology,NSC,606,"LaChance, Jenny",W2,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
Epidemiology,NSC,606,"LaChance, Jenny",W3,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
Epidemiology,NSC,606,"LaChance, Jenny",W4,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
Introduction to Prof. NUR,NUR,110,"Injic, Zorka",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Theoretical Concepts-Prof NUR,NUR,300,"Dalton, Harold",W1,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Theoretical Concepts-Prof NUR,NUR,300,"Dalton, Harold",W2,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
Integrated Case Studies in NUR,NUR,307,"Copeland, Tammara",W2,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
Integrated Case Studies in NUR,NUR,307,"Copeland, Tammara",W3,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Research in Nursing,NUR,316,"Saltzberg, Christine",W1,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Nursing and HCR Informatics,NUR,345,"Fahr, Noelle",W1,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Nursing and HCR Informatics,NUR,345,"Fahr, Noelle",W3,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Nursing and HCR Informatics,NUR,345,"Fahr, Noelle",W4,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
Hlth Promotn Across Life Span,NUR,361,"VanSlyke-Smith, Kimberly",W1,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Hlth Promotn Across Life Span,NUR,361,"VanSlyke-Smith, Kimberly",W2,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Health Policy for Nursing,NUR,370,"Saltzberg, Christine",W4,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Immersion in NUR Leadrshp/Mgt,NUR,380,"Legacy, Marilyn",W1,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
Nursing Leadership and Mgt RN,NUR,423,"Legacy, Marilyn",W2,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Intro to SANE - Pediatric,NUR,426,"Walker, Kathleen",W1,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
MGT of Adult Acute/Chronic Prb,NUR,524,"Towers, Diane",W2,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
MGT of Adult Acute/Chronic Prb,NUR,524,"Towers, Diane",W3,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Adv Practice Quality & Safely,NUR,832,"Bommersbach, Stacie",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Org and Admin-Theory,NUR,840,"McGuire, Theresa",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Research and Implementation,NUR,904,"LaChance, Jenny",W2,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Research and Implementation,NUR,904,"Injic, Zorka",W5,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
DNP Scholarly Project,NUR,910,"Injic, Zorka",W3,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Intro to Philosophy,PHL,101,"Zuehlke, Joel",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Intro to Philosophy,PHL,101,"Zuehlke, Joel",W2,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
Intro to Ethics,PHL,162,"Wandmacher, Stevens",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Disabilities Studies,PHL,170,"Gawel, Lisa",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Intro to Logic,PHL,202,"Hatfield-Myers, Cody",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Origins of Modern Racism,PHL,203,"Hatfield-Myers, Cody",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Public Health Statistics,PHS,247,"Sneed, Rodlescia",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Introductory Laboratory,PHY,100,"Grafe, Alan",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Principles of Psychology,PSY,100,"Rouleau, Amy",W3,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Principles of Psychology,PSY,100,"Juliao, Tracy",W4,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Principles of Psychology,PSY,100,"Beddow, Michelle",W5,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Psychology Career Preparation,PSY,300,"Bellamy, Allen",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Psychopathology,PSY,309,"Billings, Nia",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Psychopathology,PSY,309,"Smith, Amanda",W2,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
Developmental Psychology,PSY,313,"Bellamy, Allen",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Developmental Psychology,PSY,313,"Bellamy, Allen",W2,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Developmental Psychology,PSY,313,"Smith, Amanda",W3,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Developmental Psychology,PSY,313,"Smith, Amanda",W4,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Developmental Psychology,PSY,313,"Smith, Amanda",W5,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Cognitive Psychology,PSY,317,"Franks, Andrew",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Principles of Research Design,PSY,319,"Shattuck, Kraig",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Principles of Research Design,PSY,319,"Shattuck, Kraig",W2,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Principles of Research Design,PSY,319,"Bedell, Karen",W3,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Basic Statistics & Probability,PSY,322,"Bedell, Karen",W2,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Basic Statistics & Probability,PSY,322,"Bedell, Karen",W3,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
Psychology of Personality,PSY,336,"Taylor, Amanda",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Psychology of Personality,PSY,336,"Taylor, Amanda",W2,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Intro to Clinical Psychology,PSY,352,"Taylor, Amanda",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Indust & Organizational Psych,PSY,365,"Bellamy, Allen",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Advanced Research,PSY,401,"Sela, Yael",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Advanced Research,PSY,401,"Sela, Yael",W2,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Ex Intv in Prac for Integ Cond,PTP,747,"Packard, Donald",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Asstv Tech in Access,PTP,870,"Packard, Laurel",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Fundamentals of Nonprofit Orgs,PUB,525,"Miranda, Maria",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,07:00PM,09:45PM,X,,,,,,,
Mgmt Practices for Resp. Care,RSP,320,"Cruse, Ray",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Patient Educ./Disease Mgmt,RSP,330,"Spaulding, Shane",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Problems of Substance Abuse,SAT,202,"Collings, Amy",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Business Statistics,SCM,211,"Alnaggar, Lina",W1,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
Business Statistics,SCM,211,"Alnaggar, Lina",W2,NR OASYNC,NR OASYNC,02/26/2025,04/22/2025,,,,,,,,,,
Business Statistics,SCM,211,"Charara, Zaher",W3,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Intro to Business Analytics,SCM,313,"Alnaggar, Lina",W3,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Introduction to Sociology,SOC,100,"St-George, Megan",W2,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
General Statistics,SOC,215,"St-George, Megan",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Sociology of Families,SOC,354,"Mansley, Elizabeth",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Beginning Spanish I,SPN,111,"Knoll, Theresa",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Beginning Spanish II,SPN,112,"Knoll, Theresa",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Reading Spanish,SPN,205,"LeMieux, Jeanine",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Preparing for the State Certif,SST,401,"Sayers, Harold",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Foundations in Social Welfare,SWR,230,"Hilliker, Bernadette",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Intro to Data Analysis,SWR,270,"Collings, Amy",W2,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Patterns of Domestic Violence,SWR,325,"Hilliker, Bernadette",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Introduction to the Theatre,THE,100,"Borton, Lisa",W3,NR OASYNC,NR OASYNC,01/08/2025,02/25/2025,,,,,,,,,,
Fundamental of Stage Makeup,THE,251,"Borton, Lisa",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Introduction to Theatre Design,THE,271,"Borton, Lisa",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
First Year Experience,UNV,100,"Vannier, Christian",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Human Geography,URP,116,"Green, Garry",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Disabilities Studies,WGS,170,"Gawel, Lisa",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Sociology of Families,WGS,354,"Mansley, Elizabeth",W1,NR OASYNC,NR OASYNC,01/08/2025,04/30/2025,,,,,,,,,,
Human Origins And Prehistory,ANT,105,"Wright, Kathryn",W1,NR OSYNC,NR OSYNC,01/08/2025,04/30/2025,,,,,,,,,,
Renaissance-Modern Art History,ARH,112,"Sikarskie, Amanda",W1,NR OSYNC,NR OSYNC,01/08/2025,04/30/2025,07:40AM,08:45AM,X,,X,,,,,
Intro to Art Therapy,ART,105,"Heddy-Reed, Autumn",W1,NR OSYNC,NR OSYNC,01/08/2025,04/30/2025,05:30PM,06:45PM,,X,,X,,,,
General CHM for Hlth Sciences,CHM,150,"Ionina-Prasov, Marina",W1,NR OSYNC,NR OSYNC,01/08/2025,04/30/2025,11:00AM,12:15PM,X,,X,,,,,
Bio Chemistry for Health Sci,CHM,252,"Ionina-Prasov, Marina",W1,NR OSYNC,NR OSYNC,01/08/2025,04/30/2025,02:30PM,03:45PM,X,,X,,,,,
Policing Contemporary Society,CRJ,432,"Litwin, Kenneth",W1,NR OSYNC,NR OSYNC,01/08/2025,04/30/2025,05:30PM,06:45PM,,,X,,,,,
Prog & Prob Solv for Engineers,CSC,174,"Neji, Sana",W1,NR OSYNC,NR OSYNC,01/08/2025,04/30/2025,10:30AM,11:45AM,X,,X,,,,,
Problem Solving & Progrming I,CSC,175,"McBride, Brian",W1,NR OSYNC,NR OSYNC,01/08/2025,04/30/2025,12:30PM,02:10PM,X,,X,,,,,
Problem Solving & Progrming I,CSC,175,"Neji, Sana",W2,NR OSYNC,NR OSYNC,01/08/2025,04/30/2025,12:30PM,02:10PM,,X,,X,,,,
Child Development and Learning,ECE,200,"Saunders, Tim",W1,NR OSYNC,NR OSYNC,01/08/2025,04/30/2025,05:30PM,08:15PM,,,X,,,,,
Global Energy,EGR,235,"Munroe, Derwin",W1,NR OSYNC,NR OSYNC,01/08/2025,04/30/2025,02:30PM,03:45PM,,X,,,,,,
Sustainable Design of Products,EGR,393,"AbdulNour, Bashar",W1,NR OSYNC,NR OSYNC,01/08/2025,04/30/2025,04:30PM,06:10PM,,X,,X,,,,
College Rhetoric,ENG,111,"Thum, Maureen",W1,NR OSYNC,NR OSYNC,01/08/2025,04/30/2025,02:30PM,03:45PM,X,,X,,,,,
Critical Writing & Reading,ENG,112,"Thum, Maureen",W1,NR OSYNC,NR OSYNC,01/08/2025,04/30/2025,09:30AM,10:45AM,,X,,X,,,,
Critical Writing & Reading,ENG,112,"Thum, Maureen",W2,NR OSYNC,NR OSYNC,01/08/2025,04/30/2025,11:00AM,12:15PM,,X,,X,,,,
Critical Writing & Reading,ENG,112,"Thum, Maureen",W3,NR OSYNC,NR OSYNC,01/08/2025,04/30/2025,04:00PM,05:15PM,,X,,X,,,,
Beginning French I,FRN,111,"Daassa, Mohamed",W1,NR OSYNC,NR OSYNC,01/08/2025,04/30/2025,09:30AM,10:45AM,,X,,X,,,,
Beginning French II,FRN,112,"Daassa, Mohamed",W2,NR OSYNC,NR OSYNC,01/08/2025,04/30/2025,05:30PM,06:45PM,,X,,X,,,,
Qualitative Research Methods,HCR,621,"Hilliker, Laurel",M1,NR OSYNC,NR OSYNC,01/08/2025,04/30/2025,06:30PM,08:30PM,,,X,,,,,
Machine Element Design,MEE,315,"AbdulNour, Bashar",W1,NR OSYNC,NR OSYNC,01/08/2025,04/30/2025,02:30PM,04:10PM,,X,,X,,,,
Public Health Statistics,PHS,247,"Ekstrom, Andrew",W2,NR OSYNC,NR OSYNC,01/08/2025,04/30/2025,05:30PM,08:15PM,,,X,,,,,
Occupational Health & Safety,PHS,421,"Valacak, Mark",W1,NR OSYNC,NR OSYNC,01/08/2025,04/30/2025,05:30PM,08:15PM,,X,,,,,,
Social Determinants of Health,PHS,500,"Tyus, Janee",W1,NR OSYNC,NR OSYNC,01/08/2025,04/30/2025,05:30PM,08:15PM,X,,,,,,,
Intro to Comparative Politics,POL,190,"Munroe, Derwin",W1,NR OSYNC,NR OSYNC,01/08/2025,04/30/2025,12:30PM,01:45PM,,X,,,,,,
Global Energy,POL,235,"Munroe, Derwin",W1,NR OSYNC,NR OSYNC,01/08/2025,04/30/2025,02:30PM,03:45PM,,X,,,,,,
Principles of Psychology,PSY,100,"Smith, Amanda",W1,NR OSYNC,NR OSYNC,01/08/2025,04/30/2025,07:40AM,08:55AM,,X,,X,,,,
Evaluation of Serv & Prog,PUB,508,"Munroe, Derwin",W1,NR OSYNC,NR OSYNC,01/08/2025,04/30/2025,07:00PM,09:45PM,,,X,,,,,
Policing Contemporary Society,PUB,532,"Litwin, Kenneth",W1,NR OSYNC,NR OSYNC,01/08/2025,04/30/2025,05:30PM,06:45PM,,,X,,,,,
Social Entrepreneurship,PUB,548,"Nas, Paula",W1,NR OSYNC,NR OSYNC,01/08/2025,04/30/2025,07:00PM,09:45PM,,X,,,,,,
Introduction to Sociology,SOC,100,"St-George, Megan",W1,NR OSYNC,NR OSYNC,01/08/2025,04/30/2025,12:30PM,01:45PM,X,,X,,,,,
Introduction to Social Welfare,SWR,100,"Macias, Laura",W1,NR OSYNC,NR OSYNC,01/08/2025,04/30/2025,04:00PM,05:15PM,X,,,,,,,
Hum Behav in Soc Env II Macro,SWR,302,"Rossman, Caitlin",W1,NR OSYNC,NR OSYNC,01/08/2025,04/30/2025,05:30PM,06:45PM,,,X,,,,,
Hum Behav in Soc Env II Macro,SWR,302,"Rossman, Caitlin",W2,NR OSYNC,NR OSYNC,01/08/2025,04/30/2025,07:00PM,08:15PM,,,X,,,,,
Intro to Social Work Practice,SWR,340,"Jones, Willie",W2,NR OSYNC,NR OSYNC,01/08/2025,04/30/2025,05:30PM,07:10PM,X,,,,,,,
Integrative Seminar in SWR,SWR,490,"Womack, Todd",W1,NR OSYNC,NR OSYNC,01/08/2025,04/30/2025,04:00PM,05:15PM,,X,,,,,,
Renaissance-Modern Art History,ARH,112,"Sikarskie, Amanda",01,NR PCH,NR PCH,01/08/2025,04/22/2025,12:30PM,03:45PM,X,,X,,,,,
Intro to Human Communication,COM,200,"Keller, Jenell",02,NR PCH,NR PCH,01/08/2025,04/22/2025,07:40AM,08:55AM,X,,X,,,,,
Intro to Human Communication,COM,200,"Silva, Michelle",03,NR PCH,NR PCH,01/08/2025,04/22/2025,12:45PM,02:00PM,X,,X,,,,,
Critical Writing & Reading,ENG,112,"Clark, Jay",08,NR PCH,NR PCH,01/08/2025,04/22/2025,12:45PM,02:00PM,,X,,X,,,,
Critical Writing & Reading,ENG,112,"Wilhelm, Stephanie",09,NR PCH,NR PCH,01/08/2025,04/22/2025,07:40AM,08:55AM,X,,X,,,,,
Twentieth Century World Hist,HIS,114,"Havrilcsak, Gregory",02,NR PCH,NR PCH,01/08/2025,04/22/2025,12:45PM,02:00PM,,X,,X,,,,
Intro to Philosophy,PHL,101,"Zuehlke, Joel",03,NR PCH,NR PCH,01/08/2025,04/22/2025,07:40AM,08:55AM,,X,,X,,,,
Topics in Our Public's Health,PHS,385,"Viertlboeck, Jessica",01,NR REC,NR REC,01/08/2025,04/22/2025,01:00PM,02:00PM,X,,X,,,,,
Topics in Our Public's Health,PHS,385,"Viertlboeck, Jessica",02,NR REC,NR REC,01/08/2025,04/22/2025,01:00PM,02:00PM,,X,,X,,,,
Intro to Cultural Anthropology,ANT,100,"Vannier, Christian",03,NR SHR,NR SHR,01/08/2025,04/22/2025,10:00AM,11:15AM,X,,X,,,,,
Critical Writing & Reading,ENG,112,"Martelle, Katie",10,NR SHR,NR SHR,01/08/2025,04/22/2025,10:00AM,11:15AM,,X,,X,,,,
Intro to Philosophy,PHL,101,"Wandmacher, Stevens",04,NR SHR,NR SHR,01/08/2025,04/22/2025,10:00AM,11:15AM,X,,X,,,,,
Chamber Music,MUS,302,"Thomason-Redus, Caen",01,PER,PER,01/08/2025,04/22/2025,,,,,,,,,,
Chamber Music,MUS,302,"Coviak, James",02,PER,PER,01/08/2025,04/22/2025,,,,,,,,,,
Thesis Research,BIO,599,"Yoder-Nowak, Teresa",96,RES,RES,01/08/2025,04/22/2025,,,,,,,,,,
Directed Study,AMC,590,"Daassa, Mohamed",95,STU,STU,01/08/2025,04/22/2025,,,,,,,,,,
Directed Study,AMC,590,"Larsen Jr, Dave",98,STU,STU,01/08/2025,04/22/2025,,,,,,,,,,
Adv Studio Prob-2 Dimensional,ART,395,"Zeiss, Rebecca",99,STU,STU,01/08/2025,04/22/2025,,,,,,,,,,
Independent Study,EGR,391,"Afshar, Shima",97,STU,STU,01/08/2025,04/22/2025,,,,,,,,,,
Independent Study-Applied Mus,MUS,392,"Price, Jeffrey",98,STU,STU,01/08/2025,04/22/2025,,,,,,,,,,
Independent Study-Applied Mus,MUS,392,"Price, Jeffrey",99,STU,STU,01/08/2025,04/22/2025,,,,,,,,,,
Ind Study Instrument or Vocal,MUS,394,"Price, Jeffrey",99,STU,STU,01/08/2025,04/22/2025,,,,,,,,,,
Directed Reading in Pol Sci,POL,391,"Munroe, Derwin",99,STU,STU,01/08/2025,04/22/2025,,,,,,,,,,